name,manufacturing_output,agriculture_dollars,unemployment_rate,population,median_age,incarceration_rate,household_income,graduation_rate,overdose_deaths,obesity_rate,poverty_rate,religion,internet_use,default
Alabama,35.72,4953354,3.8,4779736,38.6,0.95%,44765,87.1,16.2,35.7%,19.2%,90%,69.8,0
Alaska,1.6,33905,7.3,710231,33.3,0.69%,73355,76.1,16.8,31.4%,11.4%,70%,79.3,0
Arizona,24.43,4155758,4.9,6392017,36.9,0.83%,51492,79.5,20.3,29.0%,18.2%,75%,69.4,0
Arkansas,17.35,8214004,3.8,2915918,37.8,0.77%,41995,87,14,35.7%,18.7%,86%,72,0
California,288.98,46041467,4.2,37253956,36,0.57%,64500,83,11.2,25.0%,16.4%,73%,73.6,0
Colorado,22.58,6168553,2.9,5029196,36.3,0.61%,63909,78.9,16.6,22.3%,12.1%,75%,75,0
Connecticut,28.52,514256,4.5,3574097,40.5,0.49%,71346,87.4,27.4,26.0%,10.8%,69%,77.6,0
Delaware,3.91,1209903,4.2,897934,39.6,0.76%,61255,85.5,30.8,30.7%,13.0%,77%,77.8,0
Florida,47.08,7745136,3.9,18801310,41.6,0.79%,49426,80.7,23.7,27.4%,16.6%,78%,70.7,0
Georgia,56.46,8433423,4.3,9687653,36.1,0.92%,51244,79.4,13.3,31.4%,18.4%,84%,74.7,0
Hawaii,1.78,648559,2,1360301,38.1,0.40%,73486,82.7,12.8,23.8%,11.5%,76%,71.2,0
Idaho,7.78,7127397,2.9,1567582,35.9,0.63%,48275,79.7,15.2,27.4%,14.8%,76%,81.4,0
Illinois,100.39,16258840,4.4,12830632,37.5,0.54%,59588,85.5,18.9,31.6%,14.3%,77%,81.3,0
Indiana,98.43,10049458,3.2,6483802,37.4,0.69%,50532,86.8,24,32.5%,15.2%,78%,76.9,0
Iowa,32.65,26840363,2.8,3046355,38.2,0.41%,54736,91.3,10.6,32.0%,12.3%,79%,79.5,0
Kansas,23.79,15471947,3.4,2853118,36.2,0.57%,53906,85.7,11.1,31.2%,13.5%,79%,73.9,0
Kentucky,37.24,5440918,4,4339367,38.5,0.73%,45215,88.6,33.5,34.2%,19.0%,86%,75.3,0
Louisiana,49.86,2823356,4.5,4533372,36.1,1.08%,45727,78.6,21.8,35.5%,19.9%,90%,73.5,0
Maine,5.26,527730,2.7,1328361,44.1,0.29%,51494,87,28.7,29.9%,14.0%,63%,78.2,0
Maryland,20.67,2102778,4.3,5773552,38.3,0.55%,75847,87.6,33.2,29.9%,10.4%,75%,79.3,0
Massachusetts,48.75,386879,3.5,6547629,39.4,0.32%,70628,87.5,33,23.6%,11.7%,63%,76.7,0
Michigan,93.55,7401405,4.7,9883640,39.6,0.61%,51084,79.7,24.4,32.5%,16.2%,77%,75.1,0
Minnesota,48.25,17054673,3.2,5303925,37.8,0.29%,63488,82.2,12.5,27.8%,11.4%,74%,83.1,0
Mississippi,17.06,5206292,4.6,2967297,36.7,0.96%,40593,82.3,12.1,37.3%,21.9%,89%,69.8,0
